dataset,leave,standardisation,weighting,accuracy,balancedAcc,f1,mcc,meanAUROC,n11,precision,recall,sensitivity,specificity,stddev,,,leave,standardisation,weighting,accuracy,balancedAcc,f1,mcc,meanAUROC,n11,precision,recall,sensitivity,specificity
ecoli,FALSE,TRUE,FALSE,0.716612378,0.731079499,0.729608673,0.594605955,0.798205552,1.797226667,0.749011858,0.776639344,0.776639344,0.849168646,0,,,,,,,,,,,,,,,
ecoli,TRUE,FALSE,FALSE,0.71009772,0.536868687,0.274509804,0.066877837,0.504419192,2.193571429,0.24137931,0.318181818,0.318181818,0.755555556,0,,,,,,,,,,,,,,,
glass,FALSE,FALSE,TRUE,0.912408759,0.710053318,0.711840175,0.708253163,0.864024242,1.623573668,0.745098039,0.644067797,0.644067797,0.971553611,0,,,,,,,,,,,,,,,
glass,FALSE,TRUE,FALSE,0.901459854,0.777057927,0.71641791,0.626299798,0.832698171,1.20152381,0.923076923,0.585365854,0.585365854,0.96875,0,,,,,,,,,,,,,,,
glass,FALSE,TRUE,FALSE,0.888888889,0.982394491,0.982081885,0.979572559,0.988647926,0.122087782,0.967213115,0.946524064,0.946524064,0.995956873,0,,,,,,,,,,,,,,,
glass,TRUE,FALSE,FALSE,0.879562044,0.558558559,0.375,0.12615415,0.527027027,2.414545455,0.428571429,0.333333333,0.333333333,0.783783784,0,,,,,,,,,,,,,,,
hill-valley,FALSE,TRUE,FALSE,0.981613286,0.917972832,0.912280702,0.838138024,0.958202717,0.419815284,0.928571429,0.896551724,0.896551724,0.939393939,0,,,,,,,,,,,,,,,
hill-valley,FALSE,FALSE,FALSE,0.981020166,1,1,1,1,0,1,1,1,1,0,,,,,,,,,,,,,,,
hill-valley,TRUE,FALSE,FALSE,0.953216374,0.894480519,0.827586207,0.771020732,0.939935065,0.434804157,0.8,0.857142857,0.857142857,0.931818182,0,,,,,,,,,,,,,,,
hill-valley,FALSE,FALSE,FALSE,0.886861314,0.548742884,0.117647059,0.097485769,0.543880455,0.261760841,0.117647059,0.117647059,0.117647059,0.97983871,0,,,,,,,,,,,,,,,
image-segmentation,FALSE,FALSE,TRUE,0.976868327,0.612236495,0.565592725,0.730083807,0.965179748,1.048935823,0.5,1,1,0.975308642,0,,,,,,,,,,,,,,,
image-segmentation,TRUE,FALSE,FALSE,0.973902728,0.672222222,0.63388674,0.49693018,0.811316282,2.218619774,0.857142857,0.75,0.75,0.971428571,0,,,,,,,,,,,,,,,
image-segmentation,FALSE,TRUE,FALSE,0.960578187,0.973602035,0.973434397,0.971012283,0.985814164,0.173285884,0.936416185,0.941860465,0.941860465,0.992622401,0,,,,,,,,,,,,,,,
image-segmentation,FALSE,FALSE,FALSE,0.935672515,0.749715246,0.7417211,0.647240434,0.818701909,1.848247423,0.641025641,0.690607735,0.690607735,0.808219178,0,,,,,,,,,,,,,,,
ionosphere,TRUE,FALSE,FALSE,0.96977661,0.929562546,0.929368566,0.921295599,0.974609795,0.749197081,1,1,1,1,0,,,,,,,,,,,,,,,
ionosphere,FALSE,FALSE,FALSE,0.965834428,0.843174603,0.84162494,0.833072957,0.930410813,2.181858265,1,0.6,0.6,1,0,,,,,,,,,,,,,,,
ionosphere,FALSE,FALSE,TRUE,0.952693824,0.5,1.00E-07,0,0.528333333,1.498181818,0,0,0,0,0,,,,,,,,,,,,,,,
ionosphere,FALSE,FALSE,TRUE,0.935672515,0.703721356,0.700910442,0.582224345,0.794811822,2.091338583,0.810344828,0.824561404,0.824561404,0.920289855,0,,,,,,,,,,,,,,,
iris,FALSE,FALSE,FALSE,0.966504263,0.944444444,0.939393939,0.905405405,0.981234568,0.317259743,0.833333333,1,1,0.9,0,,,,,,,,,,,,,,,
iris,FALSE,TRUE,FALSE,0.963459196,0.687002653,0.589861751,0.367030677,0.682360743,1.92495114,0.566371681,0.615384615,0.615384615,0.75862069,0,,,,,,,,,,,,,,,
iris,FALSE,FALSE,TRUE,0.963459196,0.830959916,0.868498325,0.757500305,0.874492485,0.799708029,0.883495146,0.8125,0.8125,0.925925926,0,,,,,,,,,,,,,,,
iris,FALSE,FALSE,FALSE,0.71875,0.946377739,0.945785877,0.892782653,0.945465791,0.355927928,0.947080292,0.944494995,0.944494995,0.948260482,0,,,,,,,,,,,,,,,
libras,TRUE,FALSE,FALSE,0.959805116,0.5,1.00E-07,0,0.661482267,0.182023653,0,0,0,0,0,,,,,,,,,,,,,,,
libras,FALSE,TRUE,FALSE,0.931034483,0.422104304,0.409283126,0.459421549,0.72887897,2.395643295,0.451612903,0.651162791,0.651162791,0.964021164,0,,,,,,,,,,,,,,,
libras,TRUE,FALSE,FALSE,0.913793103,0.694047619,0.676190476,0.617783961,0.808591811,2.2825,0.75,1,1,0.947368421,0,,,,,,,,,,,,,,,
libras,TRUE,FALSE,FALSE,0.71875,0.747400313,0.746900441,0.645478666,0.811220339,1.825429553,0.714285714,0.642201835,0.642201835,0.834319527,0,,,,,,,,,,,,,,,
oocytes_merluccius_nucleus_4d,FALSE,FALSE,TRUE,0.931034483,NaN,0.349548808,0.356066881,0.668338257,3.312539326,0.142857143,0.2,0.2,0.948497854,0,,,,,,,,,,,,,,,
oocytes_merluccius_nucleus_4d,FALSE,FALSE,FALSE,0.931034483,0.587955118,0.282608696,0.20976972,0.591710556,0.969557522,0.351351351,0.236363636,0.236363636,0.939546599,0,,,,,,,,,,,,,,,
oocytes_merluccius_nucleus_4d,FALSE,TRUE,FALSE,0.65625,0.711838006,0.599033816,0.402949997,0.688674505,1.795179153,0.543859649,0.666666667,0.666666667,0.757009346,0,,,,,,,,,,,,,,,
oocytes_merluccius_nucleus_4d,FALSE,TRUE,FALSE,0.636363636,0.980986295,0.98096091,0.978918204,0.990814996,0.126026097,0.975609756,0.946745562,0.946745562,0.997329773,0,,,,,,,,,,,,,,,
oocytes_trisopterus_states_5b,FALSE,FALSE,TRUE,0.75,0.67030414,0.572727273,0.335177673,0.689101662,2.033094463,0.552631579,0.594339623,0.594339623,0.746268657,0,,,,,,,,,,,,,,,
oocytes_trisopterus_states_5b,TRUE,FALSE,FALSE,0.727272727,0.90307971,0.883468835,0.80543811,0.898758577,0.620695652,0.881081081,0.885869565,0.885869565,0.920289855,0,,,,,,,,,,,,,,,
oocytes_trisopterus_states_5b,FALSE,FALSE,FALSE,0.709090909,0.725,0.726672891,0.657040187,0.850281085,1.8675,1,1,1,1,0,,,,,,,,,,,,,,,
oocytes_trisopterus_states_5b,FALSE,FALSE,TRUE,0.636363636,0.603275598,0.277777778,0.272896105,0.645693413,0.226859396,0.384615385,0.217391304,0.217391304,0.989159892,0,,,,,,,,,,,,,,,
optical,FALSE,FALSE,TRUE,0.755485893,0.913165266,0.913165266,0.866071429,0.942933948,0.590222222,0.857142857,0.857142857,0.857142857,0.935483871,0,,,,,,,,,,,,,,,
optical,TRUE,FALSE,FALSE,0.666666667,0.872354497,0.857830707,0.852235179,0.956725567,0.922222222,0.75,1,1,0.989010989,0,,,,,,,,,,,,,,,
optical,FALSE,TRUE,FALSE,0.592592593,0.851169591,0.855050505,0.791751319,0.897986165,0.948571429,0.916666667,0.916666667,0.916666667,0.941176471,0,,,,,,,,,,,,,,,
optical,FALSE,FALSE,FALSE,0.518518519,0.742704386,0.722662698,0.628187832,0.807385196,1.9395189,0.643617021,0.64021164,0.64021164,0.812849162,0,,,,,,,,,,,,,,,
ozone,TRUE,FALSE,FALSE,0.747648903,0.93914099,0.910328011,0.829141382,0.915007007,0.581605839,0.905982906,0.890756303,0.890756303,0.929032258,0,,,,,,,,,,,,,,,
ozone,FALSE,FALSE,FALSE,0.742792793,0.977444307,0.97715909,0.974297702,0.98651309,0.153594306,0.951612903,0.956756757,0.956756757,0.993914807,0,,,,,,,,,,,,,,,
ozone,FALSE,TRUE,FALSE,0.734684685,0.905844156,0.857142857,0.811688312,0.928571429,0.457931034,0.857142857,0.857142857,0.857142857,0.954545455,0,,,,,,,,,,,,,,,
ozone,FALSE,FALSE,TRUE,0.518518519,0.690735523,0.689591709,0.604950122,0.80310329,1.960629921,0.86440678,0.85,0.85,0.941176471,0,,,,,,,,,,,,,,,
page-blocks,FALSE,TRUE,FALSE,0.793650794,1,1,1,1,0,1,1,1,1,0,,,,,,,,,,,,,,,
page-blocks,TRUE,FALSE,FALSE,0.754054054,NaN,0.621340583,0.657168917,0.827055329,2.151851852,0.818181818,0.9,0.9,0.96969697,0,,,,,,,,,,,,,,,
page-blocks,FALSE,FALSE,TRUE,0.737837838,0.513529015,0.052631579,0.028483255,0.430769231,0.314113009,0.055555556,0.05,0.05,0.97705803,0,,,,,,,,,,,,,,,
page-blocks,FALSE,FALSE,FALSE,0.735109718,0.832032171,0.812310619,0.813548385,0.90981608,0.242630938,0.553191489,0.666666667,0.666666667,0.986683576,0,,,,,,,,,,,,,,,
parkinsons,FALSE,FALSE,TRUE,0.936507937,0.885186446,0.883421615,0.876868705,0.982209408,0.717596563,0.918414918,0.869757174,0.869757174,0.974600871,0,,,,,,,,,,,,,,,
parkinsons,TRUE,FALSE,FALSE,0.888888889,0.925632551,0.92939133,0.797577916,0.891473721,0.654306569,0.908163265,0.831775701,0.831775701,0.946107784,0,,,,,,,,,,,,,,,
parkinsons,FALSE,FALSE,FALSE,0.857142857,0.82041449,0.801219873,0.79007358,0.889899587,1.217333333,0.533333333,0.96,0.96,0.854166667,0,,,,,,,,,,,,,,,
parkinsons,FALSE,TRUE,FALSE,0.755485893,0.779807692,0.71875,0.647184622,0.768076923,1.138285714,0.958333333,0.575,0.575,0.984615385,0,,,,,,,,,,,,,,,
planning,FALSE,FALSE,FALSE,0.911594203,0.784221526,0.754716981,0.582298286,0.815047022,1.392258065,0.833333333,0.689655172,0.689655172,0.878787879,0,,,,,,,,,,,,,,,
planning,FALSE,TRUE,FALSE,0.910144928,NaN,0.573740748,0.740894123,0.870059546,1.314851485,1,1,1,1,0,,,,,,,,,,,,,,,
planning,FALSE,FALSE,TRUE,0.906521739,0.786784512,0.764619825,0.636749933,0.826969833,1.76375,1,0.888888889,0.888888889,1,0,,,,,,,,,,,,,,,
planning,FALSE,FALSE,TRUE,0.870967742,0.905798517,0.886446886,0.812110501,0.907020944,0.596637681,0.888073394,0.884826325,0.884826325,0.926770708,0,,,,,,,,,,,,,,,
post-operative,TRUE,FALSE,FALSE,0.924637681,0.592845616,0.376237624,0.197845956,0.607961269,1.8675,0.413043478,0.345454545,0.345454545,0.840236686,0,,,,,,,,,,,,,,,
post-operative,TRUE,FALSE,FALSE,0.919354839,0.916666667,0.857142857,0.790569415,0.920590951,0.737777778,0.75,1,1,0.833333333,0,,,,,,,,,,,,,,,
post-operative,TRUE,FALSE,FALSE,0.9,0.936111111,0.935483871,0.900593472,0.947586207,0.442666667,0.875,0.933333333,0.933333333,0.933333333,0,,,,,,,,,,,,,,,
post-operative,FALSE,TRUE,FALSE,0.897927461,0.683174603,0.656029862,0.683255186,0.841147134,1.967407407,0.857142857,0.666666667,0.666666667,0.985915493,0,,,,,,,,,,,,,,,
ringnorm,FALSE,FALSE,FALSE,0.905181347,0.5,0.63670412,0,0.542177077,3.538901099,0.467032967,1,1,0,0,,,,,,,,,,,,,,,
ringnorm,FALSE,FALSE,TRUE,0.902072539,0.309614946,0.213607111,0.257764673,0.604764095,4.503318903,0.227477477,1,1,0.262365591,0,,,,,,,,,,,,,,,
ringnorm,FALSE,TRUE,FALSE,0.790322581,NaN,0.559325951,0.688104944,0.850538081,1.577821782,1,1,1,1,0,,,,,,,,,,,,,,,
ringnorm,FALSE,TRUE,FALSE,0.673228346,0.815823888,0.769230769,0.720314883,0.8326068,0.758857143,0.952380952,0.64516129,0.64516129,0.986486486,0,,,,,,,,,,,,,,,
seeds,FALSE,FALSE,FALSE,0.85483871,0.745959596,0.753655265,0.664623788,0.835630242,1.427956989,0.9,0.9,0.9,0.902439024,0,,,,,,,,,,,,,,,
seeds,FALSE,FALSE,TRUE,0.716535433,0.377873759,0.374385707,0.438684134,0.719035687,2.54480599,0.451612903,0.509090909,0.509090909,0.962719298,0,,,,,,,,,,,,,,,
seeds,FALSE,FALSE,FALSE,0.704724409,0.853187043,0.842105263,0.70822663,0.865203762,0.963870968,0.857142857,0.827586207,0.827586207,0.878787879,0,,,,,,,,,,,,,,,
seeds,TRUE,FALSE,FALSE,0.68503937,0.502294686,0.478386167,0.004604761,0.509269324,3.301758242,0.497005988,0.461111111,0.461111111,0.543478261,0,,,,,,,,,,,,,,,
